"ciudad","ambiente","sitio","parche","planta","id","ind1_gr","ind2_gr","ind3_gr","ind4_gr","ind5_gr","promedio","sla"
"cun","r","2","2","m2","cun_r22m2",0.01,0.0137,0.0114,0.0091,0.0078,0.0104,20.2884615384615
"cun","r","3","1","m1","cun_r31m1",0.0071,0.0056,0.006,0.0075,0.006,0.00644,32.7639751552795
"cun","r","3","1","m2","cun_r31m2",0.0068,0.0065,0.0064,0.0056,0.0058,0.00622,33.9228295819936
"cun","r","3","2","m1","cun_r32m1",0.0135,0.0154,0.0107,0.0092,0.0097,0.0117,18.034188034188
"cun","r","3","2","m2","cun_r32m2",0.0129,0.0128,0.0123,0.0107,0.0155,0.01284,16.4330218068536
"cun","r","4","1","m1","cun_r41m1",NA,NA,NA,NA,NA,NA,NA
"cun","r","4","1","m2","cun_r41m2",0.0088,0.0074,0.0114,0.0055,0.0073,0.00808,26.1138613861386
"cun","r","4","1","m1","cun_r42m1",0.0067,0.0058,0.0062,0.0055,0.0076,0.00636,33.1761006289308
"cun","r","4","2","m2","cun_r42m2",NA,NA,NA,NA,NA,NA,NA
"cun","r","5","1","m1","cun_r51m1",0.009,0.0086,0.0081,0.0077,0.0064,0.00796,26.5075376884422
"cun","r","5","1","m2","cun_r51m2",0.0075,0.0079,0.0082,0.0065,0.0063,0.00728,28.9835164835165
"cun","r","5","2","m1","cun_r52m1",0.0061,0.0088,0.0073,0.008,0.0082,0.00768,27.4739583333333
"cun","r","5","2","m2","cun_r52m2",0.0084,0.008,0.0056,0.0057,0.0047,0.00648,32.5617283950617
"cun","u","1","1","m1","cun_u11m1",0.0066,0.0057,0.0051,0.0054,0.0041,0.00538,39.2193308550186
"cun","u","1","1","m2","cun_u11m2",0.0068,0.0067,0.006,0.006,0.0063,0.00636,33.1761006289308
"cun","u","1","2","m1","cun_u12m1",0.0054,0.0038,0.0039,0.004,0.0041,0.00424,49.7641509433962
"cun","u","1","2","m2","cun_u12m2",0.0045,0.0056,0.0047,0.0062,0.0064,0.00548,38.5036496350365
"cun","u","2","1","m1","cun_u21m1",0.0051,0.007,0.006,0.0048,0.0071,0.006,35.1666666666667
"cun","u","2","1","m2","cun_u21m2",0.0072,0.0052,0.0055,0.0041,0.0068,0.00576,36.6319444444444
"cun","u","2","2","m1","cun_u22m1",0.0099,0.0074,0.0076,0.0078,0.0067,0.00788,26.7766497461929
"cun","u","2","2","m2","cun_u22m2",0.0058,0.0056,0.0052,0.0086,0.0107,0.00718,29.3871866295265
"cun","u","3","1","m1","cun_u31m1",0.0078,0.0066,0.0054,0.0058,0.0083,0.00678,31.1209439528024
"cun","u","3","1","m2","cun_u31m2",0.0062,0.0068,0.0074,0.0074,0.0081,0.00718,29.3871866295265
"cun","u","3","2","m1","cun_u32m1",0.005,0.0053,0.0097,0.0073,0.0081,0.00708,29.8022598870056
"cun","u","3","2","m2","cun_u32m2",0.0056,0.0062,0.0062,0.0061,0.0058,0.00598,35.2842809364548
"cun","u","4","1","m1","cun_u41m1",0.0043,0.0075,0.0069,0.0058,0.0047,0.00584,36.1301369863014
"cun","u","4","1","m2","cun_u41m2",0.01,0.0066,0.0083,0.0077,0.0078,0.00808,26.1138613861386
"cun","u","4","2","m1","cun_u42m1",NA,NA,NA,NA,NA,NA,NA
"cun","u","4","2","m2","cun_u42m2",NA,NA,NA,NA,NA,NA,NA
"cun","u","5","1","m1","cun_u51m1",0.0063,0.0046,0.0079,0.0093,0.0078,0.00718,29.3871866295265
"cun","u","5","1","m2","cun_u51m2",0.0097,0.0071,0.0071,0.0101,0.0089,0.00858,24.5920745920746
"cun","u","5","2","m1","cun_u52m1",0.0057,0.0052,0.0066,0.0067,0.0047,0.00578,36.5051903114187
"cun","u","5","2","m2","cun_u52m2",0.004,0.0038,0.0037,0.0034,0.004,0.00378,55.8201058201058
"mid","r","1","1","m1","mid_r11m1",0.0071,0.0074,NA,NA,NA,0.00725,29.1034482758621
"mid","r","1","1","m2","mid_r11m2",0.0079,0.0075,NA,NA,NA,0.0077,27.4025974025974
"mid","r","1","2","m1","mid_r12m1",0.0054,0.0075,NA,NA,NA,0.00645,32.7131782945736
"mid","r","1","2","m2","mid_r12m2",0.0086,0.0077,NA,NA,NA,0.00815,25.8895705521472
"mid","r","2","1","m1","mid_r21m1",0.0052,0.006,NA,NA,NA,0.0056,37.6785714285714
"mid","r","2","1","m2","mid_r21m2",0.0044,0.0049,NA,NA,NA,0.00465,45.3763440860215
"mid","r","2","2","m1","mid_r22m1",NA,NA,NA,NA,NA,NA,NA
"mid","r","2","2","m2","mid_r22m2",NA,NA,NA,NA,NA,NA,NA
"mid","r","3","1","m1","mid_r31m1",0.0096,0.0087,NA,NA,NA,0.00915,23.0601092896175
"mid","r","3","1","m2","mid_r31m2",0.0098,0.0106,NA,NA,NA,0.0102,20.6862745098039
"mid","r","3","2","m1","mid_r32m1",0.0084,0.0078,NA,NA,NA,0.0081,26.0493827160494
"mid","r","3","2","m2","mid_r32m2",NA,NA,NA,NA,NA,NA,NA
"mid","r","4","1","m1","mid_r41m1",0.0066,0.0075,NA,NA,NA,0.00705,29.9290780141844
"mid","r","4","1","m2","mid_r41m2",0.0091,0.0083,NA,NA,NA,0.0087,24.2528735632184
