"ciudad"	"ambiente"	"sitio"	"parche"	"planta"	"ID"	"Leaf"	"uno"	"dos"	"tres"	"cuatro"	"leafMean"
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	4	24	19	17	13	18.25
"cam"	"r"	"3"	"2"	"m2"	"cam_r32m2"	5	16	20	12	7	13.75
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	1	9	2	7	2	5
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	2	12	21	20	16	17.25
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	3	15	25	18	14	18
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	4	54	52	44	44	48.5
"cam"	"r"	"4"	"1"	"m1"	"cam_r41m1"	5	18	22	23	17	20
"cam"	"r"	"4"	"1"	"m2"	"cam_r41m2"	1	2	2	12	4	5
"cam"	"r"	"4"	"1"	"m2"	"cam_r41m2"	2	8	1	10	3	5.5
"cam"	"r"	"4"	"1"	"m2"	"cam_r41m2"	3	4	1	4	5	3.5
"cam"	"r"	"4"	"1"	"m2"	"cam_r41m2"	4	10	4	8	10	8
"cam"	"r"	"4"	"1"	"m2"	"cam_r41m2"	5	10	0	2	9	5.25
"cam"	"r"	"4"	"2"	"m1"	"cam_r42m1"	1	9	1	1	6	4.25
"cam"	"r"	"4"	"2"	"m1"	"cam_r42m1"	2	5	3	7	5	5
"cam"	"r"	"4"	"2"	"m1"	"cam_r42m1"	3	1	1	2	5	2.25
"cam"	"r"	"4"	"2"	"m1"	"cam_r42m1"	4	1	5	7	7	5
"cam"	"r"	"4"	"2"	"m1"	"cam_r42m1"	5	13	17	9	5	11
"cam"	"r"	"4"	"2"	"m2"	"cam_r42m2"	1	22	15	15	4	14
"cam"	"r"	"4"	"2"	"m2"	"cam_r42m2"	2	15	8	9	22	13.5
"cam"	"r"	"4"	"2"	"m2"	"cam_r42m2"	3	17	11	34	17	19.75
"cam"	"r"	"4"	"2"	"m2"	"cam_r42m2"	4	39	21	22	36	29.5
