"MUESTRA","ID","ID_LASPA","ciudad","ambiente","sitio","parche","planta","P_mg_Kg","C_porcentaje","K_Cmol_Kg","N_porcentaje"
"vegetal","CUN_R31m2","LFR-2022-8112","cun","r","3","1","m2",762.907462686567,40.5807264448699,68.75,2.40298507462687
"vegetal","CUN_R32m1","LFR-2022-8113","cun","r","3","2","m1",569.311004784689,39.8356822664515,66.25,2.625
"vegetal","CUN_R32m2","LFR-2022-8114","cun","r","3","2","m2",492.897115384615,37.2976602762317,74,2.71641791044776
"vegetal","CUN_R41m1","LFR-2022-8115","cun","r","4","1","m1",389.656730769231,41.8072613894043,48.5,3.11881188118812
"vegetal","CUN_R41m2","LFR-2022-8116","cun","r","4","1","m2",404.314705882353,40.938601280841,39,3.22277227722772
"vegetal","CUN_R42m1","LFR-2022-8117","cun","r","4","1","m1",915.623414634147,36.8351370851371,53.875,2.68965517241379
"vegetal","CUN_R42m2","LFR-2022-8118","cun","r","4","2","m2",590.282352941177,32.7593261069639,77.625,3.13432835820895
"vegetal","CUN_R51m1","LFR-2022-8119","cun","r","5","1","m1",830.149038461539,38.5695990517419,56.75,2.98529411764706
"vegetal","CUN_R51m2","LFR-2022-8120","cun","r","5","1","m2",1213.78522167488,36.4014332281265,45.625,3.01485148514851
"vegetal","CUN_R52m1","LFR-2022-8121","cun","r","5","2","m1",1108.89807692308,35.5887928804263,52.125,3.51724137931034
"vegetal","CUN_R52m2","LFR-2022-8122","cun","r","5","2","m2",598.450485436893,35.4677117754041,68.75,3.31034482758621
"vegetal","CUN_U11m1","LFR-2022-8083","cun","u","1","1","m1",578.13679245283,65.938209702822,74.25,2.28712871287129
"vegetal","CUN_U11m2","LFR-2022-8084","cun","u","1","1","m2",613.344230769231,26.6168242014396,90.75,2.06896551724138
"vegetal","CUN_U12m1","LFR-2022-8085","cun","u","1","2","m1",650.253658536585,33.9253734407885,76.625,2.05882352941176
"vegetal","CUN_U12m2","LFR-2022-8086","cun","u","1","2","m2",765,30.5853344284174,89.125,1.96551724137931
"vegetal","CUN_U21m1","LFR-2022-8087","cun","u","2","1","m1",720.108823529412,35.838981612447,76.75,2.5990099009901
"vegetal","CUN_U21m2","LFR-2022-8088","cun","u","2","1","m2",1081.29428571429,40.1371367336004,61.75,2.92537313432836
"vegetal","CUN_U22m1","LFR-2022-8089","cun","u","2","2","m1",822.752153110048,33.053833346141,84.5,2.49504950495049
"vegetal","CUN_U22m2","LFR-2022-8090","cun","u","2","2","m2",977.199029126214,32.9539359650251,79.375,2.26470588235294
"vegetal","CUN_U31m1","LFR-2022-8091","cun","u","3","1","m1",781.653588516747,37.1820294784581,71.25,2.07920792079208
"vegetal","CUN_U31m2","LFR-2022-8092","cun","u","3","1","m2",1034.72173913043,33.9253734407885,70,2.79310344827586
"vegetal","CUN_U32m1","LFR-2022-8093","cun","u","3","2","m1",809.953623188406,31.7268432355047,72.25,2.48275862068965
"vegetal","CUN_U32m2","LFR-2022-8094","cun","u","3","2","m2",650.253658536585,33.5660108354719,73.5,2.5990099009901
"vegetal","CUN_U41m1","LFR-2022-8095","cun","u","4","1","m1",893.822857142857,37.9106224452838,69,2.18316831683168
"vegetal","CUN_U41m2","LFR-2022-8096","cun","u","4","1","m2",852.92,35.6788291074005,52.5,3.10344827586207
"vegetal","CUN_U42m1","LFR-2022-8097","cun","u","4","2","m1",2189.68405797102,43.0792001649145,37.125,2.7029702970297
"vegetal","CUN_U42m2","LFR-2022-8098","cun","u","4","2","m2",1446.22028985507,39.9271584415584,51.375,3.43069306930693
"vegetal","CUN_U51m1","LFR-2022-8099","cun","u","5","1","m1",980.673786407767,33.9443671407957,59.375,2.80693069306931
"vegetal","CUN_U51m2","LFR-2022-8100","cun","u","5","1","m2",1645.39024390244,38.4197127037992,56.5,2.49504950495049
"vegetal","CUN_U52m1","LFR-2022-8101","cun","u","5","2","m1",583.642857142857,32.988766745066,72.5,1.95588235294118
"vegetal","CUN_U52m2","LFR-2022-8102","cun","u","5","2","m2",1249.11594202899,38.4145568149544,52.875,2.92537313432836
"vegetal","MID_R11m1","LFR-2022-7943","mid","r","1","1","m1",185.948317307692,34.7448415584416,3.55128205128205,NA
"vegetal","MID_R11m2","LFR-2022-7944","mid","r","1","1","m2",162.811594202899,38.8050807475957,2.56410256410256,NA
"vegetal","MID_R12m1","LFR-2022-7945","mid","r","1","2","m1",157.852870813397,39.3507215007215,3.26923076923077,NA
"vegetal","MID_R12m2","LFR-2022-7946","mid","r","1","2","m2",1221.31971153846,37.6119017616047,3.71794871794872,NA
"vegetal","MID_R21m1","LFR-2022-7947","mid","r","2","1","m1",1091.22976190476,37.9796006365176,3.70512820512821,NA
"vegetal","MID_R21m2","LFR-2022-7948","mid","r","2","1","m2",244.25,37.5738210507441,5.42307692307692,NA
"vegetal","MID_R22m1","LFR-2022-7949","mid","r","2","2","m1",216.406097560976,42.7900535971965,3.19230769230769,NA
"vegetal","MID_R22m2","LFR-2022-7950","mid","r","2","2","m2",269.151162790698,41.1030917800148,2.33333333333333,NA
"vegetal","MID_R31m1","LFR-2022-7951","mid","r","3","1","m1",506.678909952607,36.061730744503,2.82051282051282,NA
"vegetal","MID_R31m2","LFR-2022-7952","mid","r","3","1","m2",504.28891509434,40.5818897637795,2.29487179487179,NA
"vegetal","MID_R32m1","LFR-2022-7953","mid","r","3","2","m1",171.685483870968,35.518549953983,0.397435897435897,NA
"vegetal","MID_R32m2","LFR-2022-7954","mid","r","3","2","m2",138.693069306931,41.1843231866947,4.08974358974359,NA
"vegetal","MID_R41m1","LFR-2022-7955","mid","r","4","1","m1",NA,NA,NA,NA
"vegetal","MID_R41m2","LFR-2022-7956","mid","r","4","1","m2",NA,NA,NA,NA
"vegetal","MID_R42m1","LFR-2022-7957","mid","r","4","2","m1",NA,NA,NA,NA
"vegetal","MID_R42m2","LFR-2022-7958","mid","r","4","2","m2",NA,NA,NA,NA
"vegetal","MID_R51m1","LFR-2022-7959","mid","r","5","1","m1",2020.525,42.0417865567566,5.01282051282051,NA
"vegetal","MID_R51m2","LFR-2022-7960","mid","r","5","1","m2",NA,NA,NA,NA
"vegetal","MID_R52m1","LFR-2022-7961","mid","r","5","2","m1",800.139908256881,36.9099051741909,4.08974358974359,NA
"vegetal","MID_R52m2","LFR-2022-7962","mid","r","5","2","m2",674.761961722488,38.6767181536412,4.08974358974359,NA
"vegetal","MID_U11m1","LFR-2022-7923","mid","u","1","1","m1",1371.71,35.6452363636364,5.53846153846154,1.92826398852224
"vegetal","MID_U11m2","LFR-2022-7924","mid","u","1","1","m2",623.435643564357,34.2540565317036,4.66666666666667,2.26008968609865
"vegetal","MID_U12m1","LFR-2022-7925","mid","u","1","2","m1",968.327586206897,37.2928,5.25641025641026,2.87390029325513
"vegetal","MID_U12m2","LFR-2022-7926","mid","u","1","2","m2",652.59756097561,38.1165818181818,4.37179487179487,2.00796812749004
"vegetal","MID_U21m1","LFR-2022-7927","mid","u","2","1","m1",826.048543689321,33.4964304850356,NA,2.54048780487805
"vegetal","MID_U21m2","LFR-2022-7928","mid","u","2","1","m2",1310.6961722488,34.522521129664,4.6025641025641,2.31724137931034
"vegetal","MID_U22m1","LFR-2022-7929","mid","u","2","2","m1",1064.95792079208,39.1757298701299,4.8974358974359,2.20087336244541
"vegetal","MID_U22m2","LFR-2022-7930","mid","u","2","2","m2",596.338235294118,49.8848935064935,3.02564102564102,1.65680473372781
"vegetal","MID_U31m1","LFR-2022-7931","mid","u","3","1","m1",NA,NA,NA,NA
"vegetal","MID_U31m2","LFR-2022-7932","mid","u","3","1","m2",NA,NA,NA,NA
"vegetal","MID_U32m1","LFR-2022-7933","mid","u","3","2","m1",630.087064676617,38.5229539088363,4.11538461538462,2.63529411764706
"vegetal","MID_U32m2","LFR-2022-7934","mid","u","3","2","m2",652.894675925926,35.633900493145,3.08974358974359,2.49504950495049
"vegetal","MID_U41m1","LFR-2022-7935","mid","u","4","1","m1",820.706896551724,40.7056103896104,5.51282051282051,3.13864306784661
"vegetal","MID_U41m2","LFR-2022-7936","mid","u","4","1","m2",566.920792079208,40.1171948051948,4.57692307692308,3.0089552238806
"vegetal","MID_U42m1","LFR-2022-7937","mid","u","4","2","m1",906.967661691542,40.4702441558442,3.1025641025641,2.34613466334165
"vegetal","MID_U42m2","LFR-2022-7938","mid","u","4","2","m2",909.411483253589,36.5877937386778,4.01282051282051,2.52
"vegetal","MID_U51m1","LFR-2022-7939","mid","u","5","1","m1",692.209112149533,37.8815902046671,4.21794871794872,NA
"vegetal","MID_U51m2","LFR-2022-7940","mid","u","5","1","m2",705.614155251142,37.6889752961609,2.29487179487179,NA
"vegetal","MID_U52m1","LFR-2022-7941","mid","u","5","2","m1",918.112745098039,40.5879272727273,5.24358974358974,1.82698961937716
"vegetal","MID_U52m2","LFR-2022-7942","mid","u","5","2","m2",186.110294117647,37.8690929623736,3.84615384615385,NA
"vegetal","TIZ_R11m1","LFR-2022-8023","tiz","r","1","1","m1",602.122596153846,42.2788076734399,26.875,2.37931034482759
"vegetal","TIZ_R11m2","LFR-2022-8024","tiz","r","1","1","m2",1365.93684210526,42.7724352570506,23.125,2.71641791044776
"vegetal","TIZ_R12m1","LFR-2022-8025","tiz","r","1","2","m1",631.230392156863,47.7862054776906,26,2.19402985074627
"vegetal","TIZ_R12m2","LFR-2022-8026","tiz","r","1","2","m2",565.484803921569,43.8073791020113,36.75,1.96551724137931
"vegetal","TIZ_R21m1","LFR-2022-8027","tiz","r","2","1","m1",1550.31067961165,42.8034203420342,21,2.29850746268657
"vegetal","TIZ_R21m2","LFR-2022-8028","tiz","r","2","1","m2",843.078846153846,45.8917946864269,13.375,2.18316831683168
"vegetal","TIZ_R22m1","LFR-2022-8029","tiz","r","2","2","m1",906.595215311005,45.9868664009258,11.375,2.08955223880597
"vegetal","TIZ_R22m2","LFR-2022-8030","tiz","r","2","2","m2",1450.93640776699,42.6882375498517,11.25,2.68965517241379
"vegetal","TIZ_R31m1","LFR-2022-8031","tiz","r","3","1","m1",660.036842105263,41.8900056465274,17.125,2.29850746268657
"vegetal","TIZ_R31m2","LFR-2022-8032","tiz","r","3","1","m2",542.065853658537,46.2636877973512,49,2.29850746268657
"vegetal","TIZ_R32m1","LFR-2022-8033","tiz","r","3","2","m1",569.7355,45.2135075140969,54,2.205
"vegetal","TIZ_R32m2","LFR-2022-8034","tiz","r","3","2","m2",472.015238095238,48.1061778142806,46.375,1.87128712871287
"vegetal","TIZ_R41m1","LFR-2022-8035","tiz","r","4","1","m1",714.236585365854,43.1657184085756,29.875,3.08823529411765
"vegetal","TIZ_R41m2","LFR-2022-8036","tiz","r","4","1","m2",737.719617224881,44.8795808152244,40.875,2.92537313432836
"vegetal","TIZ_R42m1","LFR-2022-8037","tiz","r","4","1","m1",906.595215311005,44.5525716347145,36.625,2.45853658536585
"vegetal","TIZ_R42m2","LFR-2022-8038","tiz","r","4","2","m2",530.008212560387,45.3359505305827,47.375,2.31
"vegetal","TIZ_R51m1","LFR-2022-8039","tiz","r","5","1","m1",391.710096153846,47.2773548585802,37.125,1.97524752475247
"vegetal","TIZ_R51m2","LFR-2022-8040","tiz","r","5","1","m2",446.010096153846,44.1002001950619,51.5,1.97524752475247
"vegetal","TIZ_R52m1","LFR-2022-8041","tiz","r","5","2","m1",277.768396226415,52.2850995158687,31.5,1.35820895522388
"vegetal","TIZ_R52m2","LFR-2022-8042","tiz","r","5","2","m2",558.711483253589,46.8173305902019,50.5,2.19402985074627
"vegetal","TIZ_U11m1","LFR-2022-8003","tiz","u","1","1","m1",1413.2427184466,42.0351960910377,4.17948717948718,1.92238805970149
"vegetal","TIZ_U11m2","LFR-2022-8004","tiz","u","1","1","m2",1416.57666666667,37.7468242694805,3.79487179487179,2.50746268656716
"vegetal","TIZ_U12m1","LFR-2022-8005","tiz","u","1","2","m1",1179.06009615385,38.4600169061708,4.75641025641026,2.32871287128713
"vegetal","TIZ_U12m2","LFR-2022-8006","tiz","u","1","2","m2",1757.72822966507,37.4372089449013,5,1.9960396039604
"vegetal","TIZ_U21m1","LFR-2022-8007","tiz","u","2","1","m1",1396.18502415459,40.4596739213635,5.96153846153846,3.49306930693069
"vegetal","TIZ_U21m2","LFR-2022-8008","tiz","u","2","1","m2",1906.33875598086,38.0805451465531,4.19230769230769,2.73103448275862
"vegetal","TIZ_U22m1","LFR-2022-8009","tiz","u","2","2","m1",1116.0009569378,40.9422942862307,3.98717948717949,2.41188118811881
"vegetal","TIZ_U22m2","LFR-2022-8010","tiz","u","2","2","m2",1454.15748792271,38.9437427383749,4.92307692307692,1.848
"vegetal","TIZ_U31m1","LFR-2022-8011","tiz","u","3","1","m1",1868.99368932039,39.3782383285377,5.74358974358974,2.772
"vegetal","TIZ_U31m2","LFR-2022-8012","tiz","u","3","1","m2",2179.62095238095,42.0281428058108,6.44871794871795,2.268
"vegetal","TIZ_U32m1","LFR-2022-8013","tiz","u","3","2","m1",1743.81756097561,42.0281428058108,7.32051282051282,2.71764705882353
"vegetal","TIZ_U32m2","LFR-2022-8014","tiz","u","3","2","m2",1246.138647343,45.8875558441558,5.79487179487179,2.41188118811881
"vegetal","TIZ_U41m1","LFR-2022-8015","tiz","u","4","1","m1",1297.29082125604,46.7725743318558,4.80769230769231,2.71764705882353
"vegetal","TIZ_U41m2","LFR-2022-8016","tiz","u","4","1","m2",1304.11111111111,43.4283086265405,5.6025641025641,2.016
"vegetal","TIZ_U42m1","LFR-2022-8017","tiz","u","4","2","m1",1318.45621890547,52.2489160242148,3.69230769230769,1.72941176470588
"vegetal","TIZ_U42m2","LFR-2022-8018","tiz","u","4","2","m2",1259.77922705314,42.0562358276644,5.61538461538462,2.57821782178218
"vegetal","TIZ_U51m1","LFR-2022-8019","tiz","u","5","1","m1",1137.01400966184,40.8865010717438,3.64102564102564,2.19402985074627
"vegetal","TIZ_U51m2","LFR-2022-8020","tiz","u","5","1","m2",1173.37378640777,43.480208810797,5.11538461538462,2.50746268656716
"vegetal","TIZ_U52m1","LFR-2022-8021","tiz","u","5","2","m1",2098.48926829268,48.0197047000618,4.80769230769231,1.44827586206897
"vegetal","TIZ_U52m2","LFR-2022-8022","tiz","u","5","2","m2",864.202415458938,42.3588411588412,5.15384615384615,2.625
"vegetal","VAL_R11m1","LFR-2022-7983","val","r","1","1","m1",1281.33597285068,36.6829839451887,5.48717948717949,2.436
"vegetal","VAL_R11m2","LFR-2022-7984","val","r","1","1","m2",1399.11483253589,40.8277452170096,6.64102564102564,2.31724137931034
"vegetal","VAL_R12m1","LFR-2022-7985","val","r","1","2","m1",637.11201171875,40.1751288394146,4.96153846153846,2.15172413793103
"vegetal","VAL_R12m2","LFR-2022-7986","val","r","1","2","m2",2551.82019704434,40.9778534576969,7.7051282051282,2.08955223880597
